Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Area,population,Area/population,UnenploymentRate
Cambodia,Southeastern Asia,129,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951,181035,16009414,0.011308034,0.300000012
Sudan,Sub-Saharan Africa,130,4.138999939,0.659516692,1.21400857,0.290920824,0.014995855,0.182317451,0.08984752,1886068,40813396,0.046211984,13.30000019
Ghana,Sub-Saharan Africa,131,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,238533,29121471,0.008190967,5.800000191
Ukraine,Central and Eastern Europe,132,4.096000195,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471,603500,44831135,0.013461627,9
Uganda,Sub-Saharan Africa,133,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719,241550,41162465,0.00586821,2.299999952
Burkina Faso,Sub-Saharan Africa,134,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.250864685,0.120328106,272967,19193284,0.014222006,3
Niger,Sub-Saharan Africa,135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,1267000,21602472,0.058650695,2.599999905
Malawi,Sub-Saharan Africa,136,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,118484,17670260,0.006705278,6.699999809
Chad,Sub-Saharan Africa,137,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882,1284000,15016773,0.085504389,5.800000191
Zimbabwe,Sub-Saharan Africa,138,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381,390757,14236745,0.027447074,5.300000191
Lesotho,Sub-Saharan Africa,139,3.808000088,0.521021247,1.190095186,0,0.390661299,0.157497272,0.11909464,30355,2091412,0.014514118,29.20000076
Angola,Sub-Saharan Africa,140,3.795000076,0.85842818,1.10441196,0.049868666,0,0.09792649,0.069720335,1246700,29816748,0.041812072,6.199999809
Afghanistan,Southern Asia,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,652230,36296400,0.017969551,8.5
Botswana,Sub-Saharan Africa,142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,582000,2205128,0.263930257,18.10000038
Benin,Sub-Saharan Africa,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,112622,11175204,0.010077847,1
Madagascar,Sub-Saharan Africa,144,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,587041,25570540,0.022957708,2.400000095
Haiti,Latin America and Caribbean,145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,27750,10982366,0.002526778,13.39999962
Yemen,Middle East and Northern Africa,146,3.592999935,0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,0.056767423,527968,28250000,0.018689133,14
South Sudan,Middle East and Northern Africa,147,3.59100008,0.397248626,0.601323128,0.163486004,0.147062436,0.285670817,0.116793513,619745,10910759,0.056801273,12.64
Liberia,Sub-Saharan Africa,148,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,111369,4702228,0.023684305,4
Guinea,Sub-Saharan Africa,149,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,245857,12067539,0.020373417,6.300000191
Togo,Sub-Saharan Africa,150,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,56785,7698475,0.007376136,6.199999809
Rwanda,Sub-Saharan Africa,151,3.470999956,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,26338,11980937,0.002198326,2.599999905
Syria,Middle East and Northern Africa,152,3.461999893,0.777153134,0.396102607,0.500533342,0.081539445,0.493663728,0.151347131,185180,18270000,0.010135742,15.2
Tanzania,Sub-Saharan Africa,153,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107,945087,54663906,0.01728905,2.700000048
Burundi,Sub-Saharan Africa,154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,0.084147945,27834,10827024,0.00257079,1.600000024
Central African Republic,Sub-Saharan Africa,155,2.693000078,0,0,0.018772686,0.270842046,0.280876487,0.056565076,622984,4596028,0.135548347,6.400000095
Finland,Western Europe,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202,338424,5518050,0.061330361,7.755000114
Norway,Western Europe,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286,323802,5314336,0.060929907,3.91899991
Denmark,Western Europe,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284,43094,5797446,0.007433273,4.974999905
Iceland,Western Europe,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353,103000,353574,0.291311013,2.917999983
Switzerland,Western Europe,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256,41284,8516543,0.004847507,4.882999897
Netherlands,Western Europe,6,7.441,1.361,1.488,0.878,0.638,0.295,0.333,41850,17231017,0.00242876,3.880000114
Canada,North America,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,9984670,37058856,0.269427367,5.920000076
New Zealand,Australia and New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.389,0.365,270467,4885500,0.055361171,4.521999836
Sweden,Western Europe,9,7.314,1.355,1.501,0.913,0.659,0.383,0.285,450295,10183175,0.044219509,6.443999767
Australia,Australia and New Zealand,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,7692024,24992369,0.307774905,5.387000084
United Kingdom,Western Europe,11,7.19,1.244,1.433,0.888,0.464,0.082,0.262,242900,66488991,0.003653236,3.953999996
Austria,Western Europe,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,83871,8847037,0.009480123,4.785999775
Costa Rica,Latin America and Caribbean,13,7.072,1.01,1.459,0.817,0.632,0.101,0.143,51100,4999441,0.010221143,8.128000259
Ireland,Western Europe,14,6.977,1.448,1.583,0.876,0.614,0.306,0.307,70273,4853506,0.014478812,5.690999985
Germany,Western Europe,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,357114,82927922,0.004306318,3.424999952
Belgium,Western Europe,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,30528,11422068,0.002672721,6.322999954
Luxembourg,Western Europe,17,6.91,1.576,1.52,0.896,0.632,0.321,0.196,2586,607728,0.004255193,5.46999979
United States,North America,18,6.886,1.398,1.471,0.819,0.547,0.133,0.291,9372610,327167434,0.028647747,3.933000088
Israel,Middle East and Northern Africa,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,20770,8883800,0.002337963,3.950000048
United Arab Emirates,Middle East and Northern Africa,20,6.774,2.096,0.776,0.67,0.284,0.38583,0.186,83600,9630959,0.00868034,2.575000048
Czech Republic,Central and Eastern Europe,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064,78865,10625695,0.007422103,2.397000074
Malta,Western Europe,22,6.627,1.27,1.525,0.884,0.645,0.142,0.376,316,483530,0.000653527,4.583000183
France,Western Europe,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,551695,66987244,0.008235822,9.180000305
Mexico,Latin America and Caribbean,24,6.488,1.038,1.252,0.761,0.479,0.095,0.069,1964375,126190788,0.015566707,3.322000027
Chile,Latin America and Caribbean,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,756102,18729160,0.04037031,7.22300005
Taiwan,Eastern Asia,26,6.441,1.365,1.436,0.857,0.418,0.078,0.151,36193,23780000,0.001521993,3.68
Panama,Latin America and Caribbean,27,6.43,1.112,1.438,0.759,0.597,0.063,0.125,75417,4176873,0.018055852,3.921999931
Brazil,Latin America and Caribbean,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,8515767,209469333,0.040654004,12.54399967
Argentina,Latin America and Caribbean,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2780400,44494502,0.062488619,9.482999802
Guatemala,Latin America and Caribbean,30,6.382,0.781,1.268,0.608,0.604,0.071,0.179,108889,17247807,0.006313208,2.726999998
Uruguay,Latin America and Caribbean,31,6.379,1.093,1.459,0.771,0.625,0.155,0.13,181034,3449299,0.052484287,7.960999966
Qatar,Middle East and Northern Africa,32,6.374,1.649,1.303,0.748,0.654,0.171,0.256,11586,2781677,0.004165113,0.142000005
Saudi Arabia,Middle East and Northern Africa,33,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2149690,33699947,0.063789121,5.919000149
Singapore,Southeastern Asia,34,6.343,1.529,1.451,1.008,0.631,0.457,0.261,710,5638676,0.000125916,3.767999887
Malaysia,Southeastern Asia,35,6.322,1.161,1.258,0.669,0.356,0.059,0.311,330803,31528585,0.010492161,3.359999895
Spain,Western Europe,36,6.31,1.251,1.538,0.965,0.449,0.074,0.142,505992,46723749,0.010829439,15.48700047
Colombia,Latin America and Caribbean,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,1141748,49648685,0.022996541,9.093000412
Trinidad & Tobago,Western Europe,38,6.192,1.223,1.492,0.564,0.575,0.019,0.171,5131,1389843,0.003691784,2.83
Slovakia,Central and Eastern Europe,39,6.173,1.21,1.537,0.776,0.354,0.014,0.118,49037,5450000,0.008997615,6.5
El Salvador,Latin America and Caribbean,40,6.167,0.806,1.231,0.639,0.461,0.082,0.065,21041,6420744,0.003277035,4.389999866
Nicaragua,Latin America and Caribbean,41,6.141,0.668,1.319,0.7,0.527,0.128,0.208,130373,6465513,0.020164371,4.479000092
Poland,Central and Eastern Europe,42,6.123,1.176,1.448,0.781,0.546,0.064,0.108,312679,37978548,0.008233043,3.673000097
Bahrain,Middle East and Northern Africa,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,765,1569439,0.000487435,0.962000012
Uzbekistan,Central and Eastern Europe,44,6.096,0.719,1.584,0.605,0.724,0.259,0.328,447400,32955400,0.013575924,5.22300005
Kuwait,Middle East and Northern Africa,45,6.083,1.474,1.301,0.675,0.554,0.106,0.167,17818,4137309,0.004306664,2.075999975
Thailand,Southeastern Asia,46,6.072,1.016,1.417,0.707,0.637,0.029,0.364,513120,69428524,0.007390622,0.665000021
Italy,Western Europe,47,6,1.264,1.501,0.946,0.281,0.028,0.137,301336,60431283,0.004986424,10.20499992
Ecuador,Latin America and Caribbean,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114,276841,17084357,0.016204356,3.910000086
Belize,North America,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183,22966,383071,0.059952333,9.368000031
Lithuania,Central and Eastern Europe,50,5.952,1.197,1.527,0.716,0.35,0.006,0.026,65300,2789533,0.023408936,6.006999969
Slovenia,Central and Eastern Europe,51,5.948,1.219,1.506,0.856,0.633,0.051,0.16,20273,2067372,0.009806169,5.510000229
Romania,Central and Eastern Europe,52,5.945,1.116,1.219,0.726,0.528,0.001,0.088,238391,19473936,0.012241542,4.295000076
Latvia,Central and Eastern Europe,53,5.933,1.148,1.454,0.671,0.363,0.066,0.092,64559,1926542,0.0335103,7.856999874
Japan,Eastern Asia,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,377930,126529100,0.002986902,2.444999933
Mauritius,Sub-Saharan Africa,55,5.891,1.09,1.387,0.684,0.584,0.05,0.245,2040,1265303,0.001612262,6.867000103
Jamaica,Latin America and Caribbean,56,5.89,0.819,1.493,0.693,0.575,0.031,0.096,10991,2934855,0.003744989,9.444999695
South Korea,Eastern Asia,57,5.875,1.266,1.204,0.955,0.244,0.051,0.175,100210,51171706,0.001958309,4
Northern Cyprus,Western Europe,58,5.835,1.229,1.211,0.909,0.495,0.154,0.179,3355,1189265,0.00282107,8
Russia,Central and Eastern Europe,59,5.81,1.151,1.479,0.599,0.399,0.025,0.065,17098242,145734038,0.117324972,4.8
Kazakhstan,Central and Eastern Europe,60,5.79,1.143,1.516,0.631,0.454,0.121,0.148,2724900,18276499,0.149093106,4.885000229
Cyprus,Western Europe,61,5.762,1.229,1.191,0.909,0.423,0.035,0.202,9251,1189265,0.007778754,8.109000206
Bolivia,Latin America and Caribbean,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,1098581,11353142,0.09676449,3.257999897
Estonia,Central and Eastern Europe,63,5.739,1.2,1.532,0.737,0.553,0.174,0.086,45227,1320884,0.034239948,5.507999897
Paraguay,Latin America and Caribbean,64,5.681,0.835,1.522,0.615,0.541,0.074,0.162,406752,6956071,0.058474389,4.711999893
Peru,Latin America and Caribbean,65,5.663,0.934,1.249,0.674,0.53,0.034,0.092,1285216,31989256,0.040176489,2.844000101
Kosovo,Central and Eastern Europe,66,5.662,0.855,1.23,0.578,0.448,0.023,0.274,10890,1845300,0.005901479,29.6
Moldova,Central and Eastern Europe,67,5.64,0.657,1.301,0.62,0.232,0,0.171,33846,3545883,0.009545154,3.411000013
Turkmenistan,Central and Eastern Europe,68,5.636,1.016,1.533,0.517,0.417,0.037,0.199,488100,5850908,0.083422949,3.782999992
Hungary,Central and Eastern Europe,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,93028,9768785,0.009522986,3.663000107
Libya,Middle East and Northern Africa,70,5.566,0.985,1.35,0.553,0.496,0.148,0.116,1759540,6678567,0.263460709,17.28700066
Philippines,Southeastern Asia,71,5.524,0.775,1.312,0.513,0.643,0.105,0.12,342353,106651922,0.003210003,2.515000105
Honduras,Latin America and Caribbean,72,5.504,0.62,1.205,0.622,0.459,0.074,0.197,112492,9587522,0.011733167,4.076000214
Belarus,Central and Eastern Europe,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101,207600,9485386,0.0218863,5.708000183
Turkey,Middle East and Northern Africa,74,5.483,1.148,1.38,0.686,0.324,0.109,0.106,783562,82319724,0.009518521,10.89500046
Pakistan,Southern Asia,75,5.472,0.652,0.81,0.424,0.334,0.113,0.216,881912,212215030,0.004155747,3.038000107
Hong Kong,Eastern Asia,76,5.43,1.405,1.29,1.03,0.524,0.291,0.246,1104,7371730,0.000149761,2.8
Portugal,Western Europe,77,5.41,1.188,1.429,0.884,0.562,0.017,0.055,92090,10281762,0.008956636,6.860000134
Serbia,Central and Eastern Europe,78,5.398,0.975,1.369,0.685,0.288,0.043,0.134,88361,6982084,0.012655391,13.51000023
Greece,Western Europe,79,5.358,1.154,1.202,0.879,0.131,0.044,0,131990,10727668,0.012303699,19.20700073
Lebanon,Middle East and Northern Africa,80,5.358,0.965,1.179,0.785,0.503,0.136,0.214,10452,6848925,0.001526079,6.166999817
Montenegro,Central and Eastern Europe,81,5.347,1.017,1.279,0.729,0.259,0.081,0.111,13812,622345,0.022193478,15.46199989
Croatia,Central and Eastern Europe,82,5.321,1.115,1.161,0.737,0.38,0.039,0.12,56594,4089400,0.013839194,8.850000381
Dominican Republic,Latin America and Caribbean,83,5.302,0.982,1.441,0.614,0.578,0.106,0.12,48671,10627165,0.004579867,5.828999996
Algeria,Middle East and Northern Africa,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055,2381741,42228429,0.056401364,12.14500046
Morocco,Middle East and Northern Africa,85,5.254,0.779,0.797,0.669,0.46,0.074,0.026,446550,36029138,0.012394135,9.039999962
China,Eastern Asia,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029,9706961,1392730000,0.006969736,4.416999817
Azerbaijan,Central and Eastern Europe,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031,86600,9942334,0.008710228,5.21999979
Tajikistan,Central and Eastern Europe,88,5.199,0.474,1.166,0.598,0.292,0.034,0.187,143100,9100837,0.015723828,10.92199993
Macedonia,Central and Eastern Europe,89,5.185,0.959,1.239,0.691,0.394,0.052,0.173,25713,2082957,0.01234447,21.55
Jordan,Middle East and Northern Africa,90,5.161,0.822,1.265,0.645,0.468,0.134,0.13,89342,9956011,0.008973674,15.02499962
Nigeria,Sub-Saharan Africa,91,5.155,0.689,1.172,0.048,0.462,0.032,0.201,923768,195874740,0.004716116,6.026000023
Kyrgyzstan,Central and Eastern Europe,92,5.131,0.53,1.416,0.594,0.54,0.035,0.281,199951,6304030,0.031717965,2.7
Bosnia and Herzegovina,Central and Eastern Europe,93,5.129,0.915,1.078,0.758,0.28,0,0.216,51209,3323929,0.015406165,20.8390007
Mongolia,Eastern Asia,94,5.125,0.914,1.517,0.575,0.395,0.032,0.253,1564110,3170208,0.493377722,6.320000172
Vietnam,Southeastern Asia,95,5.103,0.715,1.365,0.702,0.618,0.079,0.177,331212,95540395,0.003466722,1.891000032
Indonesia,Southeastern Asia,96,5.093,0.899,1.215,0.522,0.538,0.018,0.484,1904569,267663435,0.007115537,4.300000191
Bhutan,Southern Asia,97,5.082,0.796,1.335,0.527,0.541,0.171,0.364,38394,754394,0.05089383,2.197000027
Somalia,Middle East and Northern Africa,98,4.982,0,0.712,0.115,0.674,0.282,0.238,637657,15008154,0.042487371,13.95600033
Cameroon,Sub-Saharan Africa,99,4.975,0.535,0.891,0.182,0.454,0.043,0.183,475442,25216237,0.018854598,3.361000061
Bulgaria,Central and Eastern Europe,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064,110879,7024216,0.015785249,5.261000156
Nepal,Southern Asia,101,4.88,0.425,1.228,0.539,0.526,0.078,0.302,147181,28087871,0.00524002,1.264000058
Venezuela,Latin America and Caribbean,102,4.806,0.996,1.469,0.657,0.133,0.052,0.056,916445,2887118,0.317425543,8.37
Gabon,Sub-Saharan Africa,103,4.758,1.036,1.164,0.404,0.356,0.052,0.032,267668,2119275,0.126301683,19.48800087
Palestinian Territories,Middle East and Northern Africa,104,4.743,0.642,1.217,0.602,0.266,0.076,0.086,6220,4862979,0.001279051,17
South Africa,Sub-Saharan Africa,105,4.724,0.94,1.41,0.33,0.516,0.056,0.103,1221037,57779622,0.021132658,26.95800018
Iran,Middle East and Northern Africa,106,4.707,1.059,0.771,0.691,0.459,0.129,0.282,1648195,81800188,0.020149037,12
Ivory Coast,Sub-Saharan Africa,107,4.671,0.541,0.872,0.08,0.467,0.103,0.146,322463,25069230,0.0128629,2.48
Ghana,Sub-Saharan Africa,108,4.657,0.592,0.896,0.337,0.499,0.029,0.212,238533,29767108,0.008013308,6.710000038
Senegal,Sub-Saharan Africa,109,4.631,0.429,1.117,0.433,0.406,0.082,0.138,196722,15854360,0.012408069,6.464000225
Laos,Southeastern Asia,110,4.623,0.72,1.034,0.441,0.626,0.174,0.23,236800,7061507,0.033533918,0.61
Tunisia,Middle East and Northern Africa,111,4.592,0.9,0.906,0.69,0.271,0.063,0.04,163610,11565204,0.014146746,15.47799969
Albania,Central and Eastern Europe,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149,28748,2866376,0.010029389,13.89799976
Sierra Leone,Sub-Saharan Africa,113,4.571,0.256,0.813,0,0.355,0.053,0.238,71740,7650154,0.009377589,4.313000202
Congo (Brazzaville),Sub-Saharan Africa,114,4.559,0.682,0.811,0.343,0.514,0.077,0.091,342000,5279517,0.064778653,10.4
Bangladesh,Southern Asia,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153,147570,161356039,0.000914561,4.308000088
Sri Lanka,Southern Asia,116,4.471,0.918,1.314,0.672,0.585,0.05,0.307,65610,21670000,0.003027688,4.399000168
Iraq,Middle East and Northern Africa,117,4.456,1.01,0.971,0.536,0.304,0.095,0.148,438317,38433600,0.011404526,7.927999973
Mali,Sub-Saharan Africa,118,4.447,0.37,1.233,0.152,0.367,0.056,0.139,1240192,19077690,0.065007451,9.569000244
Namibia,Sub-Saharan Africa,119,4.441,0.874,1.281,0.365,0.519,0.064,0.051,825615,2448255,0.337225902,23.09499931
Cambodia,Southeastern Asia,120,4.433,0.549,1.088,0.457,0.696,0.065,0.256,181035,16249798,0.011140754,1.047999978
Burkina Faso,Sub-Saharan Africa,121,4.424,0.314,1.097,0.254,0.312,0.128,0.175,272967,19751535,0.01382004,6.059000015
Egypt,Middle East and Northern Africa,122,4.419,0.885,1.025,0.553,0.312,0.107,0.092,1002450,98423598,0.010185057,11.44
Mozambique,Sub-Saharan Africa,123,4.417,0.198,0.902,0.173,0.531,0.158,0.206,801590,29495962,0.027176262,3.171999931
Kenya,Sub-Saharan Africa,124,4.41,0.493,1.048,0.454,0.504,0.055,0.352,580367,51393010,0.011292722,9.312999725
Zambia,Sub-Saharan Africa,125,4.377,0.562,1.047,0.295,0.503,0.082,0.221,752612,17351822,0.043373658,7.209000111
Mauritania,Sub-Saharan Africa,126,4.356,0.557,1.245,0.292,0.129,0.093,0.134,1030700,4403319,0.234073434,10.30500031
Ethiopia,Sub-Saharan Africa,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22,1104300,109224559,0.010110364,1.809000015
Georgia,Central and Eastern Europe,128,4.34,0.853,0.592,0.643,0.375,0.215,0.038,69700,3731000,0.018681319,14.10599995
Armenia,Central and Eastern Europe,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077,29743,2951776,0.010076307,17.71199989
Myanmar,Southeastern Asia,130,4.308,0.682,1.174,0.429,0.58,0.178,0.598,676578,53708395,0.012597249,1.56400001
Chad,Sub-Saharan Africa,131,4.301,0.358,0.907,0.053,0.189,0.06,0.181,1284000,15477751,0.082957789,2.229000092
Congo (Kinshasa),Sub-Saharan Africa,132,4.245,0.069,1.136,0.204,0.312,0.052,0.197,2345000,8406891,0.278937838,46
India,Southern Asia,133,4.19,0.721,0.747,0.485,0.539,0.093,0.172,3287590,1352617328,0.00243054,2.551000118
Niger,Sub-Saharan Africa,134,4.166,0.131,0.867,0.221,0.39,0.099,0.175,1267000,22442948,0.056454259,0.273000002
Uganda,Sub-Saharan Africa,135,4.161,0.322,1.09,0.237,0.45,0.061,0.259,241550,42723139,0.005653845,1.741999984
Benin,Sub-Saharan Africa,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163,112622,11485048,0.009805967,2.125
Sudan,Sub-Saharan Africa,137,4.139,0.605,1.24,0.312,0.016,0.082,0.134,1886068,41801533,0.045119589,12.8760004
